month,neighborhood_municipality,total_partially_vaccinated,total_fully_vaccinated,total_fully_vaccinated_w_booster
2020-12-01,Churchill,54,0,0
2020-12-01,Coraopolis,45,0,0
2020-12-01,Crawford-Roberts (Pittsburgh),34,0,0
2020-12-01,Crescent,18,0,0
2020-12-01,Duquesne Heights (Pittsburgh),62,0,0
2020-12-01,East Pittsburgh,10,0,0
2020-12-01,Elizabeth Township,254,0,0
2020-12-01,Fairywood (Pittsburgh),21,0,0
2020-12-01,Fineview (Pittsburgh),22,0,0
2020-12-01,Friendship (Pittsburgh),106,0,0
2020-12-01,Glen Osborne,9,0,0
2020-12-01,Green Tree,115,0,0
2020-12-01,Harrison,181,0,0
2020-12-01,Hays (Pittsburgh),3,0,0
2020-12-01,Homestead,25,0,0
2020-12-01,Homewood North (Pittsburgh),17,0,0
2020-12-01,Jefferson Hills,260,0,0
2020-12-01,Kennedy,112,0,0
2020-12-01,Leetsdale,14,0,0
2020-12-01,Lincoln,18,0,0
2020-12-01,Marshall,176,0,0
2020-12-01,Marshall-Shadeland (Pittsburgh),32,0,0
2020-12-01,Mckees rocks,29,0,0
2020-12-01,McKeesport,122,0,0
2020-12-01,New Homestead (Pittsburgh),24,0,0
2020-12-01,Northview Heights (Pittsburgh),2,0,0
2020-12-01,Oakwood (Pittsburgh),11,0,0
2020-12-01,Ohio,166,0,0
2020-12-01,Pennsbury Village,17,0,0
2020-12-01,Pitcairn,25,0,0
2020-12-01,Pleasant Hills,158,0,0
2020-12-01,Reserve,50,0,0
2020-12-01,Ridgemont (Pittsburgh),8,0,0
2020-12-01,Rosslyn Farms,13,0,0
2020-12-01,Sewickley Hills,18,0,0
2020-12-01,Shaler,634,0,0
2020-12-01,Sharpsburg,52,0,0
2020-12-01,South Park,239,0,0
2020-12-01,South Shore (Pittsburgh),19,0,0
2020-12-01,Southside Flats (Pittsburgh),275,0,0
2020-12-01,Springdale Township,21,0,0
2020-12-01,Upper Hill (Pittsburgh),17,0,0
2020-12-01,Verona,21,0,0
2020-12-01,Whitehall,326,0,0
2021-02-01,Arlington Heights (Pittsburgh),4,0,0
2021-04-01,Mcdonald,1,0,0
2021-09-01,Glenfield,5,0,0
2022-02-01,Chartiers City (Pittsburgh),4,0,0
2022-03-01,Fawn,6,0,0
2022-03-01,North Shore (Pittsburgh),4,0,0
2022-03-01,Sewickley Heights,4,0,0
2022-05-01,Allegheny Center (Pittsburgh),5,0,0
2022-05-01,Rosslyn Farms,1,0,0
2022-05-01,South Shore (Pittsburgh),1,0,0
2022-05-01,West End (Pittsburgh),5,0,0
2022-06-01,Chartiers City (Pittsburgh),1,0,0
2022-06-01,Esplen (Pittsburgh),2,0,0
2022-07-01,Fineview (Pittsburgh),2,0,0
2022-07-01,Lincoln,1,0,0
2022-07-01,Ridgemont (Pittsburgh),1,0,0
2022-07-01,Rosslyn Farms,2,0,0
2022-08-01,Oakdale,2,0,0
2022-09-01,Glen Hazel (Pittsburgh),3,0,0
2022-09-01,Versailles,1,0,0
2022-08-01,Fineview (Pittsburgh),3,0,0
2022-08-01,Friendship (Pittsburgh),8,0,0
2022-09-01,Mount Washington (Pittsburgh),7,0,0
2022-07-01,Polish Hill (Pittsburgh),3,0,0
2022-02-01,St. Clair (Pittsburgh),1,0,0
2022-07-01,St. Clair (Pittsburgh),3,0,0
2022-07-01,Wall,1,0,0
2020-12-01,Penn Hills,496,1,0
2020-12-01,Point Breeze (Pittsburgh),221,1,0
2020-12-01,West Mifflin,321,1,0
2021-01-01,Aleppo,122,116,0
2021-01-01,Allegheny Center (Pittsburgh),93,83,0
2021-01-01,Bedford Dwellings (Pittsburgh),18,7,0
2021-01-01,Bloomfield (Pittsburgh),761,456,0
2021-01-01,Bradford Woods,90,20,0
2021-01-01,Castle Shannon,663,178,0
2021-01-01,Central Business District (Pittsburgh),323,163,0
2021-01-01,Chateau (Pittsburgh),4,1,0
2021-01-01,Churchill,333,87,0
2021-01-01,Collier,641,210,0
2021-01-01,Coraopolis,319,62,0
2021-01-01,Crawford-Roberts (Pittsburgh),83,39,0
2021-01-01,Crescent,119,23,0
2021-01-01,Dravosburg,93,32,0
2021-01-01,Duquesne,131,41,0
2021-01-01,Duquesne Heights (Pittsburgh),160,71,0
2021-01-01,Edgeworth,125,42,0
2021-01-01,Fairywood (Pittsburgh),72,25,0
2021-01-01,Fineview (Pittsburgh),46,25,0
2021-01-01,Friendship (Pittsburgh),140,121,0
2021-01-01,Glen Hazel (Pittsburgh),170,137,0
2021-01-01,Harmar,363,139,0
2021-01-01,Kennedy,704,209,0
2021-01-01,Leetsdale,43,20,0
2021-01-01,Lincoln,53,23,0
2021-01-01,Lower Lawrenceville (Pittsburgh),293,219,0
2021-01-01,Marshall,460,233,0
2021-01-01,McCandless,2536,1030,0
2021-01-01,Mckees rocks,204,40,0
2021-01-01,North Shore (Pittsburgh),36,33,0
2021-01-01,North Versailles,573,182,0
2021-01-01,Northview Heights (Pittsburgh),13,2,0
2021-01-01,O'Hara,1050,381,0
2021-01-01,Oakmont,914,193,0
2021-01-01,Ohio,600,214,0
2021-01-01,Perry North (Pittsburgh),198,82,0
2021-01-01,Pleasant Hills,831,255,0
2021-01-01,Richland,883,306,0
2021-01-01,Ridgemont (Pittsburgh),34,14,0
2021-01-01,Rosslyn Farms,47,15,0
2021-01-01,Scott,1714,602,0
2021-01-01,Sewickley Hills,46,23,0
2021-01-01,South Shore (Pittsburgh),14,20,0
2021-01-01,Spring Garden (Pittsburgh),53,18,0
2021-01-01,Turtle Creek,216,134,0
2021-01-01,West Elizabeth,18,6,0
2021-01-01,West End (Pittsburgh),5,4,0
2021-01-01,West Oakland (Pittsburgh),210,39,0
2021-01-01,West View,387,174,0
2021-01-01,Wilkins,447,133,0
2021-02-01,Allegheny West (Pittsburgh),51,42,0
2021-02-01,Arlington (Pittsburgh),98,45,0
2021-02-01,Beltzhoover (Pittsburgh),102,34,0
2021-02-01,Ben Avon,153,92,0
2021-02-01,Ben Avon Heights,41,20,0
2021-02-01,Braddock Hills,144,86,0
2021-02-01,Brentwood,585,597,0
2021-02-01,California-Kirkbride (Pittsburgh),20,17,0
2021-02-01,Carrick (Pittsburgh),592,484,0
2021-02-01,Central Oakland (Pittsburgh),145,194,0
2021-02-01,Chalfant,68,42,0
2021-02-01,Chartiers City (Pittsburgh),56,13,0
2021-02-01,Cheswick,205,135,0
2021-02-01,Clairton,418,225,0
2021-02-01,Crafton,561,265,0
2021-02-01,Crafton Heights (Pittsburgh),301,181,0
2021-02-01,East Carnegie (Pittsburgh),50,33,0
2021-02-01,East Hills (Pittsburgh),204,61,0
2021-02-01,East Liberty (Pittsburgh),324,358,0
2021-02-01,East Mckeesport,148,108,0
2021-02-01,Edgewood,333,280,0
2021-02-01,Emsworth,190,114,0
2021-02-01,Esplen (Pittsburgh),10,5,0
2021-02-01,Findlay,488,245,0
2021-02-01,Franklin Park,1486,1023,0
2021-02-01,Frazer,74,39,0
2021-02-01,Garfield (Pittsburgh),214,140,0
2021-02-01,Glenfield,16,14,0
2021-02-01,Greenfield (Pittsburgh),608,487,0
2021-02-01,Hays (Pittsburgh),12,15,0
2021-02-01,Homewood South (Pittsburgh),153,45,0
2021-02-01,Indiana,590,521,0
2021-02-01,Knoxville (Pittsburgh),135,86,0
2021-02-01,Leet,109,51,0
2021-02-01,Lincoln-Lemington-Belmar (Pittsburgh),298,121,0
2021-02-01,Middle Hill (Pittsburgh),182,32,0
2021-02-01,Monroeville,2779,2464,0
2021-02-01,Mount Lebanon,3979,3118,0
2021-02-01,Mount Washington (Pittsburgh),646,445,0
2021-02-01,Munhall,850,687,0
2021-02-01,North Braddock,232,111,0
2021-02-01,North Oakland (Pittsburgh),422,478,0
2021-02-01,Perry South (Pittsburgh),262,171,0
2021-02-01,Pine,965,876,0
2021-02-01,Sewickley,409,212,0
2021-02-01,South Fayette,1333,1007,0
2021-02-01,South Oakland (Pittsburgh),129,173,0
2021-02-01,South Versailles,23,9,0
2021-02-01,Springdale Borough,249,171,0
2021-02-01,Stowe,392,182,0
2021-02-01,Summer Hill (Pittsburgh),77,69,0
2021-02-01,Swisshelm Park (Pittsburgh),172,131,0
2021-02-01,Swissvale,607,438,0
2021-02-01,Terrace Village (Pittsburgh),108,53,0
2021-02-01,Undefined,158,127,0
2021-02-01,Upper Hill (Pittsburgh),169,120,0
2021-02-01,Upper Saint Clair,2406,2043,0
2021-02-01,Verona,155,127,0
2021-02-01,Whitaker,76,52,0
2021-02-01,White Oak,736,386,0
2021-02-01,Wilkinsburg,1120,755,0
2021-02-01,Wilmerding,87,39,0
2021-03-01,Aleppo,353,398,0
2021-03-01,Allegheny Center (Pittsburgh),190,121,0
2021-03-01,Bedford Dwellings (Pittsburgh),126,70,0
2021-03-01,Green Tree,1087,785,0
2021-03-01,Greenfield (Pittsburgh),1479,898,0
2021-03-01,Hays (Pittsburgh),40,24,0
2021-03-01,Homestead,307,287,0
2021-03-01,Homewood West (Pittsburgh),62,87,0
2021-03-01,Knoxville (Pittsburgh),337,191,0
2021-03-01,Liberty,365,226,0
2021-03-01,Lincoln-Lemington-Belmar (Pittsburgh),504,341,0
2021-03-01,Marshall-Shadeland (Pittsburgh),510,283,0
2021-03-01,Morningside (Pittsburgh),780,425,0
2021-03-01,Mt. Oliver (Pittsburgh),56,28,0
2021-03-01,Munhall,1839,1286,0
2021-03-01,North Braddock,500,341,0
2021-03-01,North Oakland (Pittsburgh),1003,506,0
2021-03-01,Plum,4606,3686,0
2021-03-01,Point Breeze (Pittsburgh),1228,754,0
2021-03-01,Robinson,2951,2319,0
2021-03-01,Sewickley Heights,215,165,0
2021-03-01,Shadyside (Pittsburgh),2522,1117,0
2021-03-01,South Fayette,2282,1589,0
2021-03-01,South Oakland (Pittsburgh),525,195,0
2021-03-01,South Park,2678,2000,0
2021-03-01,Southside Slopes (Pittsburgh),720,367,0
2021-03-01,St. Clair (Pittsburgh),20,18,0
2021-03-01,Upper Saint Clair,4510,2954,0
2021-03-01,Verona,419,252,0
2021-03-01,Whitehall,2725,2383,0
2021-03-01,Wilkinsburg,2366,1503,0
2021-04-01,Aleppo,143,223,0
2021-04-01,Banksville (Pittsburgh),551,811,0
2021-04-01,Bell Acres,183,287,0
2021-04-01,Bellevue,1151,1329,0
2021-04-01,Bethel Park,4153,6698,0
2021-04-01,Blawnox,210,247,0
2021-04-01,Brackenridge,355,353,0
2021-04-01,Bradford Woods,167,236,0
2021-04-01,Brighton Heights (Pittsburgh),768,1263,0
2021-04-01,Central Business District (Pittsburgh),1064,1004,0
2021-04-01,Central Lawrenceville (Pittsburgh),703,1090,0
2021-04-01,Central Oakland (Pittsburgh),910,1012,0
2021-04-01,Chalfant,94,115,0
2021-04-01,Churchill,385,658,0
2021-04-01,Crescent,279,426,0
2021-04-01,Duquesne Heights (Pittsburgh),350,495,0
2021-04-01,East Allegheny (Pittsburgh),279,374,0
2021-04-01,East Deer,154,169,0
2021-04-01,Fairywood (Pittsburgh),147,127,0
2021-04-01,Fineview (Pittsburgh),115,137,0
2021-04-01,Forward,164,215,0
2021-04-01,Glen Osborne,89,98,0
2021-04-01,Green Tree,714,1050,0
2021-04-01,Hampton,2757,3276,0
2021-04-01,Hays (Pittsburgh),32,40,0
2021-04-01,Homestead,267,309,0
2021-04-01,Homewood North (Pittsburgh),171,249,0
2021-04-01,Marshall,1098,1256,0
2021-04-01,Marshall-Shadeland (Pittsburgh),395,552,0
2021-04-01,New Homestead (Pittsburgh),100,152,0
2021-04-01,Northview Heights (Pittsburgh),48,65,0
2021-04-01,O'Hara,1254,1724,0
2021-04-01,Oakdale,177,265,0
2021-04-01,Penn Hills,4560,6352,0
2021-04-01,Pitcairn,295,328,0
2021-04-01,Pleasant Hills,1081,1537,0
2021-04-01,Point Breeze (Pittsburgh),808,1218,0
2021-04-01,Ridgemont (Pittsburgh),73,93,0
2021-04-01,Ross,4933,6397,0
2021-04-01,Rosslyn Farms,55,83,0
2021-04-01,Sharpsburg,448,485,0
2021-04-01,South Park,1661,2541,0
2021-04-01,St. Clair (Pittsburgh),25,21,0
2021-04-01,Strip District (Pittsburgh),385,437,0
2021-04-01,Verona,286,389,0
2021-04-01,West Deer,1429,1839,0
2021-04-01,Whitehall,1918,2477,0
2021-05-01,Allegheny Center (Pittsburgh),73,261,0
2021-05-01,Allegheny West (Pittsburgh),15,74,0
2021-05-01,Arlington (Pittsburgh),92,171,0
2021-05-01,Avalon,220,535,0
2021-05-01,Banksville (Pittsburgh),214,482,0
2021-05-01,Ben Avon,111,209,0
2021-05-01,Ben Avon Heights,26,51,0
2021-05-01,Bluff (Pittsburgh),54,149,0
2021-05-01,Braddock,105,155,0
2021-05-01,Castle Shannon,447,1016,0
2021-05-01,Central Lawrenceville (Pittsburgh),187,602,0
2021-05-01,Cheswick,69,260,0
2021-05-01,Churchill,153,320,0
2021-05-01,Clairton,198,577,0
2021-05-01,Crafton,319,656,0
2021-05-01,Crescent,126,212,0
2021-05-01,Dormont,363,1071,0
2021-05-01,Dravosburg,57,155,0
2021-05-01,Duquesne Heights (Pittsburgh),100,271,0
2021-05-01,East Allegheny (Pittsburgh),66,240,0
2021-05-01,East Carnegie (Pittsburgh),26,58,0
2021-05-01,East Hills (Pittsburgh),103,118,0
2021-05-01,Edgewood,169,398,0
2021-05-01,Edgeworth,95,142,0
2021-05-01,Emsworth,140,286,0
2021-05-01,Forward,53,139,0
2021-05-01,Franklin Park,1144,1852,0
2021-05-01,Glen Hazel (Pittsburgh),16,52,0
2021-05-01,Harmar,115,353,0
2021-05-01,Haysville,1,9,0
2021-05-01,Hazelwood (Pittsburgh),169,347,0
2021-05-01,Highland Park (Pittsburgh),344,757,0
2021-05-01,Homewood South (Pittsburgh),91,139,0
2021-05-01,Indiana,394,870,0
2021-05-01,Leet,84,123,0
2021-05-01,Monroeville,1334,3122,0
2021-05-01,Moon,1418,2748,0
2021-05-01,Mount Lebanon,2105,3825,0
2021-05-01,Mount Washington (Pittsburgh),370,976,0
2021-05-01,North Fayette,672,1445,0
2021-05-01,North Shore (Pittsburgh),14,52,0
2021-05-01,North Versailles,434,946,0
2021-05-01,Northview Heights (Pittsburgh),46,53,0
2021-05-01,O'Hara,529,1124,0
2021-05-01,Oakdale,86,154,0
2021-05-01,Overbrook (Pittsburgh),148,352,0
2021-05-01,Perry North (Pittsburgh),198,407,0
2021-05-01,Perry South (Pittsburgh),152,293,0
2021-05-01,Pine,827,1616,0
2021-05-01,Scott,947,2118,0
2021-05-01,Sewickley,244,415,0
2021-05-01,Spring Garden (Pittsburgh),35,63,0
2021-05-01,Springdale Borough,128,447,0
2021-03-01,Bloomfield (Pittsburgh),1874,852,0
2021-03-01,Bradford Woods,258,210,0
2021-03-01,Castle Shannon,1585,1113,0
2021-03-01,Central Business District (Pittsburgh),848,407,0
2021-03-01,Chateau (Pittsburgh),10,6,0
2021-03-01,Churchill,702,608,0
2021-03-01,Collier,1834,1392,0
2021-03-01,Coraopolis,931,602,0
2021-03-01,Crawford-Roberts (Pittsburgh),369,337,0
2021-03-01,Crescent,434,314,0
2021-03-01,Dravosburg,270,213,0
2021-03-01,Duquesne,476,291,0
2021-03-01,Duquesne Heights (Pittsburgh),504,358,0
2021-03-01,Edgeworth,365,258,0
2021-03-01,Elizabeth Township,1911,1720,0
2021-03-01,Fairywood (Pittsburgh),124,75,0
2021-03-01,Fineview (Pittsburgh),138,90,0
2021-03-01,Friendship (Pittsburgh),347,148,0
2021-03-01,Glen Hazel (Pittsburgh),58,53,0
2021-03-01,Glen Osborne,107,103,0
2021-03-01,Harmar,556,408,0
2021-03-01,Haysville,15,6,0
2021-03-01,Homewood North (Pittsburgh),237,182,0
2021-03-01,Jefferson Hills,1754,1453,0
2021-03-01,Kennedy,1600,1413,0
2021-03-01,Leetsdale,203,124,0
2021-03-01,Lincoln,144,108,0
2021-03-01,Lower Lawrenceville (Pittsburgh),565,287,0
2021-03-01,Marshall,1291,853,0
2021-03-01,McCandless,5603,4609,0
2021-03-01,Mckees rocks,637,349,0
2021-03-01,McKeesport,1876,1184,0
2021-03-01,New Homestead (Pittsburgh),152,104,0
2021-03-01,North Shore (Pittsburgh),51,28,0
2021-03-01,North Versailles,1450,1064,0
2021-03-01,Northview Heights (Pittsburgh),52,27,0
2021-03-01,O'Hara,1917,1324,0
2021-03-01,Oakmont,1393,1077,0
2021-03-01,Ohio,1375,1191,0
2021-03-01,Pennsbury Village,156,99,0
2021-03-01,Perry North (Pittsburgh),656,370,0
2021-03-01,Pitcairn,318,226,0
2021-03-01,Pleasant Hills,1663,1367,0
2021-03-01,Richland,2185,1702,0
2021-03-01,Ridgemont (Pittsburgh),103,60,0
2021-03-01,Rosslyn Farms,95,68,0
2021-03-01,Scott,3139,2628,0
2021-03-01,Sewickley Hills,141,108,0
2021-03-01,Sharpsburg,528,280,0
2021-03-01,South Shore (Pittsburgh),31,15,0
2021-03-01,Trafford,3,2,0
2021-03-01,Turtle Creek,585,393,0
2021-03-01,West Elizabeth,59,31,0
2021-03-01,West End (Pittsburgh),38,21,0
2021-03-01,Wilkins,1143,868,0
2021-04-01,Allegheny West (Pittsburgh),89,127,0
2021-04-01,Arlington (Pittsburgh),199,225,0
2021-04-01,Beltzhoover (Pittsburgh),171,200,0
2021-04-01,Ben Avon,259,369,0
2021-04-01,Ben Avon Heights,69,91,0
2021-04-01,Braddock,152,226,0
2021-04-01,Braddock Hills,195,304,0
2021-04-01,Brentwood,1265,1655,0
2021-04-01,Brookline (Pittsburgh),1723,2350,0
2021-04-01,California-Kirkbride (Pittsburgh),59,80,0
2021-04-01,Carrick (Pittsburgh),1154,1402,0
2021-04-01,Chartiers City (Pittsburgh),56,64,0
2021-04-01,Cheswick,274,327,0
2021-04-01,Clairton,595,673,0
2021-04-01,Crafton,798,1051,0
2021-04-01,Crafton Heights (Pittsburgh),428,508,0
2021-04-01,East Carnegie (Pittsburgh),64,65,0
2021-04-01,East Hills (Pittsburgh),142,285,0
2021-04-01,East Liberty (Pittsburgh),966,1122,0
2021-04-01,East Mckeesport,199,312,0
2021-04-01,Edgewood,509,737,0
2021-04-01,Emsworth,353,438,0
2021-04-01,Esplen (Pittsburgh),31,32,0
2021-04-01,Findlay,808,1072,0
2021-04-01,Franklin Park,2385,3135,0
2021-04-01,Frazer,149,176,0
2021-04-01,Garfield (Pittsburgh),403,596,0
2021-04-01,Glenfield,22,30,0
2021-04-01,Greenfield (Pittsburgh),1313,1526,0
2021-04-01,Heidelberg,181,236,0
2021-04-01,Homewood South (Pittsburgh),168,268,0
2021-04-01,Indiana,947,1200,0
2021-04-01,Knoxville (Pittsburgh),303,359,0
2021-04-01,Leet,130,213,0
2021-04-01,Lincoln-Lemington-Belmar (Pittsburgh),306,523,0
2021-04-01,Middle Hill (Pittsburgh),162,234,0
2021-04-01,Monroeville,3745,4542,0
2021-04-01,Mount Lebanon,4771,7228,0
2021-04-01,Mount Washington (Pittsburgh),1206,1603,0
2021-04-01,Munhall,1206,1779,0
2021-04-01,North Braddock,402,477,0
2021-04-01,North Oakland (Pittsburgh),1842,1306,0
2021-04-01,Perry South (Pittsburgh),320,530,0
2021-04-01,Pine,2046,2493,0
2021-04-01,Sewickley,541,816,0
2021-04-01,South Fayette,1563,2244,0
2021-04-01,South Oakland (Pittsburgh),655,627,0
2021-04-01,South Versailles,34,49,0
2021-04-01,Spring Hill-City View (Pittsburgh),240,360,0
2021-04-01,Springdale Borough,443,485,0
2021-04-01,Squirrel Hill North (Pittsburgh),1966,1909,0
2021-04-01,Squirrel Hill South (Pittsburgh),2984,3055,0
2021-04-01,Stanton Heights (Pittsburgh),491,930,0
2021-04-01,Stowe,597,763,0
2021-04-01,Summer Hill (Pittsburgh),116,168,0
2021-04-01,Swisshelm Park (Pittsburgh),167,275,0
2021-04-01,Swissvale,1072,1499,0
2021-04-01,Terrace Village (Pittsburgh),271,309,0
2021-04-01,Thornburg,63,97,0
2021-04-01,Undefined,277,365,0
2021-04-01,Upper Saint Clair,2939,4380,0
2021-04-01,Whitaker,136,162,0
2021-04-01,White Oak,745,1228,0
2021-04-01,Wilkinsburg,1673,2399,0
2021-04-01,Wilmerding,141,174,0
2021-05-01,Aleppo,59,128,0
2021-05-01,Bell Acres,82,146,0
2021-05-01,Bethel Park,1658,3438,0
2021-05-01,Bloomfield (Pittsburgh),352,1243,0
2021-05-01,Bradford Woods,78,144,0
2021-05-01,California-Kirkbride (Pittsburgh),30,60,0
2021-05-01,Central Business District (Pittsburgh),294,858,0
2021-05-01,Undefined,80,212,0
2021-05-01,Upper Saint Clair,1258,2350,0
2021-05-01,West Elizabeth,19,40,0
2021-05-01,West Homestead,77,150,0
2021-05-01,Whitaker,55,128,0
2021-05-01,Wilmerding,69,127,0
2021-06-01,Baldwin Township,29,95,0
2021-06-01,Beechview (Pittsburgh),200,404,0
2021-06-01,Bell Acres,16,83,0
2021-06-01,Bellevue,155,431,0
2021-06-01,Bethel Park,483,1552,0
2021-06-01,Blawnox,22,65,0
2021-06-01,Braddock Hills,27,112,0
2021-06-01,Carrick (Pittsburgh),226,481,0
2021-06-01,Central Northside (Pittsburgh),39,103,0
2021-06-01,Central Oakland (Pittsburgh),40,121,0
2021-06-01,Chalfant,14,28,0
2021-06-01,East Liberty (Pittsburgh),124,251,0
2021-06-01,Esplen (Pittsburgh),6,11,0
2021-06-01,Fawn,24,82,0
2021-06-01,Forest Hills,107,263,0
2021-06-01,Frazer,20,39,0
2021-06-01,Garfield (Pittsburgh),71,157,0
2021-06-01,Glassport,92,232,0
2021-06-01,Green Tree,99,244,0
2021-06-01,Greenfield (Pittsburgh),114,305,0
2021-06-01,Hays (Pittsburgh),9,26,0
2021-06-01,Homestead,87,152,0
2021-06-01,Homewood West (Pittsburgh),11,25,0
2021-06-01,Knoxville (Pittsburgh),86,156,0
2021-06-01,Liberty,32,115,0
2021-06-01,Lincoln-Lemington-Belmar (Pittsburgh),92,153,0
2021-06-01,Marshall-Shadeland (Pittsburgh),81,189,0
2021-06-01,Morningside (Pittsburgh),42,113,0
2021-06-01,Mt. Oliver (Pittsburgh),3,17,0
2021-06-01,Munhall,172,562,0
2021-06-01,North Braddock,83,200,0
2021-06-01,North Oakland (Pittsburgh),67,145,0
2021-06-01,Plum,500,1214,0
2021-06-01,Point Breeze (Pittsburgh),39,264,0
2021-06-01,Robinson,293,780,0
2021-06-01,Sewickley Heights,9,52,0
2021-06-01,Shadyside (Pittsburgh),159,423,0
2021-06-01,South Fayette,218,628,0
2021-06-01,South Oakland (Pittsburgh),52,94,0
2021-06-01,South Park,179,600,0
2021-06-01,Southside Slopes (Pittsburgh),91,197,0
2021-06-01,St. Clair (Pittsburgh),6,16,0
2021-06-01,Upper Saint Clair,367,1132,0
2021-06-01,Verona,47,138,0
2021-06-01,Whitehall,266,639,0
2021-06-01,Wilkinsburg,243,558,0
2021-07-01,Aleppo,12,16,0
2021-07-01,Arlington (Pittsburgh),28,37,0
2021-07-01,Banksville (Pittsburgh),68,65,0
2021-07-01,Bethel Park,478,436,0
2021-07-01,Blawnox,24,20,0
2021-07-01,Brackenridge,33,46,0
2021-07-01,Braddock,43,52,0
2021-07-01,Bradford Woods,12,22,0
2021-07-01,Brighton Heights (Pittsburgh),83,113,0
2021-07-01,Central Business District (Pittsburgh),66,74,0
2021-07-01,Central Lawrenceville (Pittsburgh),51,50,0
2021-07-01,Churchill,38,40,0
2021-07-01,Crescent,35,29,0
2021-07-01,Duquesne Heights (Pittsburgh),33,37,0
2021-07-01,East Allegheny (Pittsburgh),34,30,0
2021-07-01,East Deer,23,20,0
2021-07-01,Fairywood (Pittsburgh),16,21,0
2021-07-01,Fineview (Pittsburgh),17,10,0
2021-07-01,Forward,16,22,0
2021-07-01,Glen Hazel (Pittsburgh),7,7,0
2021-07-01,Glen Osborne,5,8,0
2021-07-01,Green Tree,55,82,0
2021-07-01,Hampton,237,255,0
2021-07-01,Harmar,23,35,0
2021-07-01,Homewood North (Pittsburgh),53,61,0
2021-07-01,Marshall,83,86,0
2021-07-01,Monroeville,421,459,0
2021-07-01,Mount Lebanon,386,402,0
2021-07-01,New Homestead (Pittsburgh),7,14,0
2021-07-01,North Shore (Pittsburgh),2,5,0
2021-07-01,Northview Heights (Pittsburgh),16,21,0
2021-07-01,O'Hara,118,124,0
2021-07-01,Oakdale,18,12,0
2021-07-01,Penn Hills,649,744,0
2021-07-01,Pitcairn,41,47,0
2021-07-01,Pleasant Hills,128,140,0
2021-07-01,Ridgemont (Pittsburgh),6,6,0
2021-07-01,Ross,389,454,0
2021-07-01,Rosslyn Farms,5,4,0
2021-07-01,Scott,242,259,0
2021-07-01,Sharpsburg,39,59,0
2021-07-01,South Park,156,161,0
2021-07-01,Squirrel Hill North (Pittsburgh),59,71,0
2021-07-01,Squirrel Hill South (Pittsburgh),123,146,0
2021-07-01,Stanton Heights (Pittsburgh),63,60,0
2021-07-01,Strip District (Pittsburgh),25,27,0
2021-07-01,Thornburg,4,3,0
2021-07-01,West Deer,131,152,0
2021-07-01,West End (Pittsburgh),7,3,0
2021-07-01,Whitehall,214,220,0
2021-08-01,Allegheny Center (Pittsburgh),25,24,10
2021-08-01,Arlington (Pittsburgh),48,34,1
2021-08-01,Avalon,112,110,29
2021-08-01,Banksville (Pittsburgh),75,66,17
2021-08-01,Ben Avon,37,30,8
2021-08-01,Ben Avon Heights,7,4,3
2021-08-01,Bluff (Pittsburgh),36,33,3
2021-08-01,Braddock,35,43,3
2021-08-01,Castle Shannon,166,155,38
2021-08-01,Central Lawrenceville (Pittsburgh),62,65,29
2021-08-01,Cheswick,24,33,15
2021-08-01,Churchill,67,62,41
2021-08-01,Clairton,121,87,8
2021-08-01,Crafton,146,119,25
2021-08-01,Crescent,64,44,9
2021-08-01,Dormont,143,136,39
2021-08-01,Dravosburg,32,27,7
2021-08-01,Duquesne Heights (Pittsburgh),49,44,14
2021-08-01,East Allegheny (Pittsburgh),40,43,9
2021-08-01,East Carnegie (Pittsburgh),8,8,2
2021-08-01,East Hills (Pittsburgh),67,45,5
2021-08-01,Edgewood,34,29,25
2021-08-01,Edgeworth,23,25,21
2021-08-01,Emsworth,81,60,6
2021-08-01,Forward,38,20,4
2021-05-01,Central Oakland (Pittsburgh),146,567,0
2021-05-01,Chalfant,34,89,0
2021-05-01,Chartiers City (Pittsburgh),19,45,0
2021-05-01,Coraopolis,372,599,0
2021-05-01,Crafton Heights (Pittsburgh),216,379,0
2021-05-01,Crawford-Roberts (Pittsburgh),91,196,0
2021-05-01,East Pittsburgh,85,122,0
2021-05-01,Elizabeth Township,495,1166,0
2021-05-01,Esplen (Pittsburgh),10,26,0
2021-05-01,Fairywood (Pittsburgh),81,134,0
2021-05-01,Fineview (Pittsburgh),35,98,0
2021-05-01,Friendship (Pittsburgh),96,373,0
2021-05-01,Garfield (Pittsburgh),169,325,0
2021-05-01,Glen Osborne,34,74,0
2021-05-01,Green Tree,246,584,0
2021-05-01,Harrison,411,1095,0
2021-05-01,Hays (Pittsburgh),31,28,0
2021-05-01,Homestead,154,243,0
2021-05-01,Homewood North (Pittsburgh),116,145,0
2021-05-01,Jefferson Hills,460,1121,0
2021-05-01,Kennedy,419,794,0
2021-05-01,Leetsdale,64,108,0
2021-05-01,Lincoln,45,90,0
2021-05-01,Marshall,429,863,0
2021-05-01,Marshall-Shadeland (Pittsburgh),173,332,0
2021-05-01,McKeesport,746,1383,0
2021-05-01,New Homestead (Pittsburgh),40,87,0
2021-05-01,North Braddock,207,374,0
2021-05-01,Oakwood (Pittsburgh),49,97,0
2021-05-01,Ohio,391,687,0
2021-05-01,Pennsbury Village,22,55,0
2021-05-01,Pitcairn,133,250,0
2021-05-01,Pleasant Hills,349,989,0
